topic,top_terms
0,"loan, mortgage, payment, forbearance, pay, tell, email, receive, time, home"
1,"card, bank, account, charge, money, tell, check, chase, receive, day"
2,"initiate formal, possible violation, fraudulent, formal, initiate, fraudulent account, possible, block, fair, investigation"
3,"pnc, link, account, account pnc, pnc account, connect, pnc allow, link pnc, pnc bank, try link"
4,"stellar payment, record company, successful resolution, definitely error, stellar, payment record, company try, resolution definitely, time stellar, error loan"
5,"report, account, code, credit report, credit, late, contact bureau, bureau, reporting, partial account"
6,"day, report day, item, state failure, immediately, failure investigate, delete, information impact, day reason, file litigation"
7,"acct open, open balance, account acct, acct, balance account, open, balance, charge, response, request"
8,"furnisher, information, section, consumer, cra, agency, account, dispute, report, account number"
9,"inquiry, inquiry credit, hard inquiry, hard, add hard, credit report, initiate, add, credit, verification"
10,"credit, information, credit information, inaccurate, report, credit report, mistake, inaccurate information, follow, inclusion inaccurate"
11,"acct open, open balance, account acct, balance account, acct, open, balance, account, charge, act"
12,"item open, account credit, consent deposit, party hang, hang identity, address consent, police, release state, letter release, say party"
13,"chase, check, bank, card, account, money, tell, bank america, america, customer"
14,"signature, write form, signature validate, request legal, action remove, form communication, add derogatory, consumer request, report research, research account"
15,"free, citizen, marketing, request, credit, free annual, credit report, reporting, request free, free credit"
16,"allege, proof, proof contract, contract, collection, authorization, provide, report, information, provide strict"
17,"sec dob, inaccurate information, dob address, dob, sec, information credit, florida, health, inaccurate, soc sec"
18,"soon possible, pull credit, fraudulent account, soon, possible, possible item, low tell, try cosign, vehicle car, car salesman"
19,"debt, shall, person, result identity, result, repurchase debt, repurchase, transfer debt, subsection shall, identity theft"
